id,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,hasFirePlace,hasBalcony,hasSolarPanels,hasAirCondition,hasView,hasSecuritySystem,price
0,34291,24,1,0,47,2,1,2000,0,1,8,5196,369,0,3,325,137,4778,4343,2441,879,3436795.2
1,95145,60,0,1,60,1,4,2000,0,1,729,4496,277,0,6,269,127,4383,4118,906,6606,9519958
2,92661,45,1,1,62,4,8,2020,1,1,7473,8953,245,1,9,661,470,8474,5153,6288,4766,9276448.1
3,97184,99,0,0,59,1,1,2000,0,1,6424,8522,256,1,9,435,655,6935,9629,2626,3735,9725732.2
4,61752,100,0,0,57,8,4,2018,1,0,7151,2786,863,0,7,576,977,2336,2800,949,9679,6181908.8
5,30300,36,0,0,35,8,4,1998,1,0,8181,1826,589,0,0,975,278,7964,1830,1459,9172,3033117.8
6,19341,95,1,0,37,9,6,2017,0,0,7173,9233,101,0,3,404,186,7175,8138,4930,7898,1944096.7
7,58110,3,1,0,1,8,4,2003,1,0,3164,3389,499,1,5,738,982,6561,6293,9238,9063,5814953.3
8,20537,84,0,1,44,3,10,1994,0,0,5026,7669,191,0,9,414,209,934,1383,9057,9458,2056267.4
9,89396,35,1,1,96,6,7,1993,0,0,7936,2956,414,0,1,6606,127,4149,96,3969,5435,8949480.3
10,54369,22,0,1,60,3,7,2018,0,1,5784,6333,469,0,6,4766,138,1244,4010,117,998,5449838.8
11,6492,86,0,0,55,4,6,2018,0,0,871,829,414,0,8,3735,335,817,7951,4090,5317,652565.8
12,75124,49,0,0,25,4,2,2009,0,0,2566,5625,325,0,2,9679,350,5652,7932,5070,7038,7513990.9
13,4596,41,0,0,95,4,5,2014,0,0,4482,7889,269,0,7,9172,106,2598,2526,3842,7554,465858.4
14,66391,84,0,1,68,8,10,2014,1,1,4973,1227,661,0,2,7898,846,7270,3648,4944,8751,6650282.4
15,31786,81,0,1,89,10,5,2000,0,0,4910,7143,435,1,4,9063,533,8735,8115,228,331,3184469
16,41759,26,0,1,45,1,8,2011,0,0,874,7226,576,0,3,9458,313,7173,473,3283,1221,4185921.1
17,202,80,0,1,69,4,8,1996,0,1,8776,879,975,1,6,5435,546,6051,773,8714,8794,28295.6
18,36428,76,1,0,51,3,7,2018,1,1,8751,6606,404,0,8,998,127,3175,7470,7310,5573,3649020.8
19,54473,13,1,0,80,3,6,2015,0,0,9819,4766,738,0,9,5317,396,2146,1273,7304,6469,5452279.5
20,29271,46,0,0,12,8,1,2000,1,1,4343,3735,414,0,3,7038,332,4407,7159,8177,867,2938810.1
21,73212,86,1,0,43,8,3,2003,0,0,4118,9679,137,0,8,7554,693,783,4876,5077,7360,7326285.3
22,40812,12,0,1,52,8,8,2018,1,0,5153,9172,127,1,4,8751,731,6282,8583,8122,1373,4088680.8
23,46903,78,0,0,38,1,10,2018,0,1,9629,7898,470,1,5,331,108,6469,7058,7497,4331,4693749.8
24,92151,37,1,0,79,6,8,2014,1,0,2800,9063,655,1,1,1221,707,32,8798,8710,6597,9228543.4
25,74409,74,1,1,50,6,8,2004,0,0,1830,9458,977,0,6,8794,876,9075,9173,6115,3861,7452174.4
